name,country,parent,total,dems,repubs,year
Garmin International (Garmin Ltd),Switzerland,Garmin Ltd,32500,2500,30000,2020
GE Appliances,China,Haier Group,19500,6000,13500,2020
Genentech Inc (Roche Holdings),Switzerland,Roche Holdings,371500,185000,186500,2020
General Cigar Co,Sweden,Scandinavian Tobacco Group,2500,0,2500,2020
Gerdau Ameristeel Corp,Brazil,Gerdau,4000,0,4000,2020
Glanbia Foods (Glanbia PLC),Ireland,Glanbia PLC,0,0,0,2020
Glanbia Performance Nutrition (Glanbia PLC),Ireland,Glanbia plc,0,0,0,2020
GlaxoSmithKline,UK,GlaxoSmithKline,163500,66000,97500,2020
Glover Park Group (WPP Group),UK,WPP Group,123868,89868,34000,2020
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,14000,4500,9500,2020
Great-West Life & Annuity Insurance (Power Financial Corp),Canada,Power Financial Corp,0,0,0,2020
Greyhound Lines,UK,FirstGroup PLC,12000,9500,2500,2020
Headwaters Inc,Australia,Boral Ltd,18000,3000,15000,2020
Heineken USA,Netherlands,L'Arche Green NV,41500,22500,19000,2020
Herbalife Nutrition,UK,Herbalife Ltd,107500,66500,41000,2020
Horizon Therapeutics,Ireland,Horizon Pharma PLC,124500,53000,71500,2020
HSBC North America (HSBC Holdings),UK,HSBC Holdings,2000,0,2000,2020
HSBC North America (HSBC Holdings),UK,HSBC Holdings,147500,58000,89500,2020
IBI Group Engineering Services,Canada,IBI Group,0,0,0,2020
IDEMIA Identity & Security (IDEMIA),France,Safran SA,20500,11000,9500,2020
Infineon Technologies,Germany,Infineon Technologies AG,21500,15500,6000,2020
Intelsat Holdings (Serafina SA),Luxembourg,Intelsat SA,6000,3500,2500,2020
Intergraph Corp,Sweden,Hexagon AB,4800,0,4800,2020
International Game Technology,Italy,B&D Holding Di Marco Drago e C Sapa,45800,27300,18500,2020
Ipsen Biopharmaceuticals,France,Ipsen SA,0,0,0,2020
ITG Brands,UK,Imperial Brands,65500,13000,52500,2020
Jackson National Life Insurance (Prudential PLC),UK,Prudential PLC,106500,28500,78000,2020
Jackson National Life Insurance (Prudential PLC),UK,Prudential PLC,181500,58500,123000,2020
JBS USA,Brazil,JBS SA,65000,13000,52000,2020
John Hancock Life Insurance,Canada,Manulife Financial,97500,51500,46000,2020
Johnson Controls (Johnson Controls International),Ireland,Johnson Controls International,263400,121400,142000,2020
Komatsu Mining,Japan,Komatsu Ltd,12500,3000,9500,2020
LafargeHolcim (LafargeHolcim),Switzerland,LaFargeHolcim,57500,15000,42500,2020
Lanxess Corp,Germany,Lanxess Corp,4500,2000,2500,2020
Lehigh Hanson,Germany,HeidelbergCement AG,93000,15500,77500,2020
Leonardo DRS,Italy,Finmeccanica SpA,182000,64000,118000,2020
Lincare Holdings (Linde plc),UK,Linde plc,12000,1000,11000,2020
Linde North America (Linde plc),UK,Linde plc,0,0,0,2020
Linde plc (Linde plc),UK,Linde Plc,13000,11000,2000,2020
Livanova Inc,UK,Livanova Plc,4500,0,4500,2020
Louis Dreyfus Co,Netherlands,Louis Dreyfus Holding B.V.,4000,0,4000,2020
LSEG US,UK,London Stock Exchange Group,29000,17000,12000,2020
Lundbeck Inc,Denmark,H Lundbeck A/S,105000,53500,51500,2020
Maersk Inc (AP Moller-Maersk),Denmark,AP Møller-Mærsk,38000,24000,14000,2020
