PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
"Eaton Corp
                       (Eaton Corp)
                    ",Ireland/Eaton Plc,"$30,500","$12,000","$18,500"
"EDF Renewables
                       (EDF Group)
                    ",France/EDF Group,"$15,000","$10,000","$5,000"
"EDP Renewables NA
                      
                    ",Portugal/EDP Renovaveis,"$15,000","$8,000","$7,000"
"Eisai Inc
                      
                    ",Japan/Eisai Co Ltd,"$7,500","$2,500","$5,000"
"Elbit Systems of America
                      
                    ",Israel/Elbit Systems Ltd,"$43,700","$8,100","$35,600"
"Elekta Inc
                       (Elekta AB)
                    ",Sweden/Elekta AB,"$57,500","$29,000","$28,500"
"Embraer Aircraft Holdings
                      
                    ",Brazil/Embraer-Empresa Brasileira de Aeronautic,"$39,500","$10,500","$29,000"
"EMD Serono Inc
                      
                    ",Germany/Merck KGaA,"$104,000","$53,500","$50,500"
"Enbridge Inc
                      
                    ",Canada/Enbridge Inc,"$23,500","$13,000","$10,500"
"Endo Pharmaceuticals
                      
                    ",Ireland/Endo International,$0,$0,$0
"ENGIE North America
                      
                    ",France/ENGIE,$0,$0,$0
"Equitable Holdings
                       (AXA)
                    ",France/AXA,"$100,500","$39,000","$61,500"
"Ericsson Inc
                      
                    ",Sweden/Telefonaktiebolaget LM Ericsson,"$22,500","$12,500","$10,000"
"Experian
                      
                    ",UK/Experian,"$446,000","$175,500","$270,500"
"Farmers Group
                       (Zurich Insurance Group)
                    ",Switzerland/Zurich Financial Services AG,"$160,500","$58,000","$102,500"
"First Hawaiian Bank
                       (BNP Paribas)
                    ",France/BNP Paribas,"$1,000","$1,000",$0
"Florida East Coast Industries
                       (SoftBank Corp)
                    ",Japan/SoftBank Corp,"$47,500","$14,500","$33,000"
"Florida East Coast Railway
                       (Grupo Mexico)
                    ",Mexico/Grupo Mexico,"$3,469","$3,169",$300
"Framatome
                       (EDF Group)
                    ",France/EDF Group,"$28,500","$19,000","$9,500"
"Fresenius Medical Care North America
                      
                    ",Germany/Fresenius Medical Care,"$300,500","$161,500","$139,000"
"G4S Secure Solutions
                      
                    ",UK/G4S plc,$0,$0,$0
"Garmin International
                       (Garmin Ltd)
                    ",Switzerland/Garmin Ltd,"$11,500","$1,000","$10,500"
"GE Appliances
                      
                    ",China/Haier Group,"$9,500","$6,000","$3,500"
"Genentech Inc
                       (Roche Holdings)
                    ",Switzerland/Roche Holdings,"$355,500","$180,000","$175,500"
"General Cigar Co
                      
                    ",Sweden/Scandinavian Tobacco Group,"$2,500",$0,"$2,500"
"Gerdau Ameristeel Corp
                      
                    ",Brazil/Gerdau,"$4,000",$0,"$4,000"
"Glanbia Foods
                       (Glanbia PLC)
                    ",Ireland/Glanbia PLC,$0,$0,$0
"Glanbia Performance Nutrition
                       (Glanbia PLC)
                    ",Ireland/Glanbia plc,$0,$0,$0
"GlaxoSmithKline
                      
                    ",UK/GlaxoSmithKline,"$121,000","$45,500","$75,500"
"Glover Park Group
                       (WPP Group)
                    ",UK/WPP Group,"$95,200","$68,700","$26,500"
"Grand Trunk Western-Illinois Central RR
                      
                    ",Canada/Canadian National Railway,"$13,000","$3,500","$9,500"
"Great-West Life & Annuity Insurance
                       (Power Financial Corp)
                    ",Canada/Power Financial Corp,$0,$0,$0
"Greyhound Lines
                      
                    ",UK/FirstGroup PLC,"$12,000","$9,500","$2,500"
"Headwaters Inc
                      
                    ",Australia/Boral Ltd,"$12,000",$0,"$12,000"
"Heineken USA
                      
                    ",Netherlands/L'Arche Green NV,"$29,500","$15,500","$14,000"
"Herbalife Nutrition
                      
                    ",UK/Herbalife Ltd,"$63,500","$40,000","$23,500"
"Horizon Therapeutics
                      
                    ",Ireland/Horizon Pharma PLC,"$98,000","$49,500","$48,500"
"HSBC North America
                       (HSBC Holdings)
                    ",UK/HSBC Holdings,"$2,000",$0,"$2,000"
"HSBC North America
                       (HSBC Holdings)
                    ",UK/HSBC Holdings,"$107,500","$41,500","$66,000"
"IBI Group Engineering Services
                      
                    ",Canada/IBI Group,$0,$0,$0
"IDEMIA Identity & Security
                       (IDEMIA)
                    ",France/Safran SA,"$8,500","$2,500","$6,000"
"Infineon Technologies
                      
                    ",Germany/Infineon Technologies AG,"$15,500","$11,000","$4,500"
"Ingersoll-Rand
                      
                    ",Ireland/Ingersoll Rand Co,"$4,000","$2,000","$2,000"
"Intelsat Holdings
                       (Serafina SA)
                    ",Luxembourg/Intelsat SA,"$1,500",$0,"$1,500"
"Intergraph Corp
                      
                    ",Sweden/Hexagon AB,"$2,000",$0,"$2,000"
"International Game Technology
                      
                    ",Italy/B&D Holding Di Marco Drago e C Sapa,"$41,300","$22,800","$18,500"
"Ipsen Biopharmaceuticals
                      
                    ",France/Ipsen SA,$0,$0,$0
"ITG Brands
                      
                    ",UK/Imperial Brands,"$10,000","$2,500","$7,500"
"Jackson National Life Insurance
                       (Prudential PLC)
                    ",UK/Prudential PLC,"$143,000","$40,000","$103,000"
"Jackson National Life Insurance
                       (Prudential PLC)
                    ",UK/Prudential PLC,"$83,500","$17,500","$66,000"
"JBS USA
                      
                    ",Brazil/JBS SA,"$24,000","$3,000","$21,000"
"John Hancock Life Insurance
                      
                    ",Canada/Manulife Financial,"$73,500","$38,000","$35,500"
"Johnson Controls
                       (Johnson Controls International)
                    ",Ireland/Johnson Controls International,"$213,900","$95,400","$118,500"
"Komatsu Mining
                      
                    ",Japan/Komatsu Ltd,"$9,500",$0,"$9,500"
"LafargeHolcim
                       (LafargeHolcim)
                    ",Switzerland/LaFargeHolcim,"$37,000","$6,500","$30,500"
"Lanxess Corp
                      
                    ",Germany/Lanxess Corp,"$1,000",$500,$500
"Lehigh Hanson
                      
                    ",Germany/HeidelbergCement AG,"$79,500","$15,000","$64,500"
"Leonardo DRS
                      
                    ",Italy/Finmeccanica SpA,"$105,500","$46,000","$59,500"
"Lincare Holdings
                       (Linde plc)
                    ",UK/Linde plc,"$6,500","$1,000","$5,500"
"Linde North America
                       (Linde plc)
                    ",UK/Linde plc,$0,$0,$0
"Linde plc
                       (Linde plc)
                    ",UK/Linde Plc,"$7,000","$6,000","$1,000"
"Livanova Inc
                      
                    ",UK/Livanova Plc,"$2,000",$0,"$2,000"
